Reaction Date,Reaction Type,Parent Type,Parent ID
"Apr 29, 2024, 9:01:22 AM",Kudos,Activity,11288398232
"May 4, 2024, 6:53:43 AM",Kudos,Activity,11307885388
"May 4, 2024, 6:53:49 AM",Kudos,Activity,11300239435
"May 4, 2024, 10:34:06 AM",Kudos,Activity,11327191407
"May 5, 2024, 1:28:35 PM",Kudos,Activity,11337963792
"May 7, 2024, 11:20:19 AM",Kudos,Activity,11343547300
"May 7, 2024, 5:19:16 PM",Kudos,Activity,11350970927
"May 8, 2024, 9:52:15 AM",Kudos,Activity,11356338209
"May 9, 2024, 5:02:10 PM",Kudos,Activity,11366812805
"May 9, 2024, 5:08:36 PM",Kudos,Activity,10898920525
"May 9, 2024, 11:12:14 PM",Kudos,Activity,11274753142
"May 12, 2024, 12:45:07 PM",Kudos,Activity,11392578748
"May 12, 2024, 12:45:10 PM",Kudos,Activity,11382941789
"May 13, 2024, 5:18:14 PM",Kudos,Activity,11400110714
"May 16, 2024, 8:40:10 AM",Kudos,Activity,11411686223
"May 18, 2024, 11:24:12 AM",Kudos,Activity,11425797073
"May 19, 2024, 1:43:51 PM",Kudos,Activity,11447573480
"May 19, 2024, 1:43:57 PM",Kudos,Activity,11426584501
"May 19, 2024, 4:43:59 PM",Kudos,Activity,11041239056
"May 19, 2024, 4:44:09 PM",Kudos,Activity,11409433413
"May 20, 2024, 10:19:18 AM",Kudos,Activity,11450077598
"May 20, 2024, 4:03:04 PM",Kudos,Activity,11454433989
"May 20, 2024, 4:03:08 PM",Kudos,Activity,11453655520
"May 21, 2024, 8:29:51 AM",Kudos,Activity,11457429732
"May 21, 2024, 11:57:04 PM",Kudos,Activity,11466568386
"May 21, 2024, 11:57:07 PM",Kudos,Activity,11465450090
"May 21, 2024, 11:57:22 PM",Kudos,Activity,11463782529
"May 21, 2024, 11:57:27 PM",Kudos,Activity,11462749862
"May 23, 2024, 2:39:58 PM",Kudos,Activity,11473469193
"May 23, 2024, 4:08:50 PM",Kudos,Activity,11478945453
"May 24, 2024, 11:30:34 AM",Kudos,Activity,11484930418
"May 25, 2024, 7:59:23 AM",Kudos,Activity,11488166970
"May 29, 2024, 10:43:16 PM",Kudos,Activity,11518595973
"May 29, 2024, 10:43:22 PM",Kudos,Activity,11528124457
"Jun 3, 2024, 2:54:32 PM",Kudos,Activity,11562377376
"Jun 6, 2024, 9:46:44 AM",Kudos,Activity,11580623256
"Jun 6, 2024, 9:46:47 AM",Kudos,Activity,11572106051
"Jun 6, 2024, 9:47:07 AM",Kudos,Activity,11568874463
"Jun 6, 2024, 9:47:13 AM",Kudos,Activity,11578167910
"Jun 6, 2024, 9:47:15 AM",Kudos,Activity,11578766526
"Jun 6, 2024, 9:48:02 AM",Kudos,Activity,11571242947
"Jun 6, 2024, 6:51:31 PM",Kudos,Activity,11587736218
"Jun 6, 2024, 6:51:37 PM",Kudos,Activity,11588780929
"Jun 6, 2024, 6:52:33 PM",Kudos,Activity,11563866424
"Jun 6, 2024, 6:52:36 PM",Kudos,Activity,11535083289
"Jun 6, 2024, 6:52:39 PM",Kudos,Activity,11504670687
"Jun 8, 2024, 12:21:58 PM",Kudos,Activity,11602881236
"Jun 14, 2024, 5:04:04 PM",Kudos,Activity,11637132418
"Jun 14, 2024, 5:04:10 PM",Kudos,Activity,11625656374
"Jun 14, 2024, 5:04:11 PM",Kudos,Activity,11646026245
"Jun 16, 2024, 3:46:33 PM",Kudos,Activity,11658676824
"Jun 17, 2024, 5:33:11 PM",Kudos,Activity,11672429538
"Jun 19, 2024, 7:47:28 PM",Kudos,Activity,11691611000
"Jun 27, 2024, 4:12:20 AM",Kudos,Activity,11741539264
"Jun 27, 2024, 4:12:51 AM",Kudos,Activity,11730428721
"Jun 27, 2024, 4:13:06 AM",Kudos,Activity,11730424606
"Jun 27, 2024, 4:13:21 AM",Kudos,Activity,11547245556
